Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
301	1.86	1.8600	16.530	225.47	23.59	22.50		0	
302	1.86	1.8600	16.540	225.43	23.57	22.50		0	
303	1.86	1.8600	16.560	225.18	23.45	22.50		0	
304	1.8600	1.87	12.290	284.00	59.71	7.03		0	
305	1.8600	1.87	12.280	284.08	59.82	7.03		0	
306	1.8600	1.87	12.280	284.09	59.79	7.03		0	
307	1.87	1.88	2.580	230.93	55.20	52.03		0	
308	1.87	1.88	2.580	231.17	55.21	50.62		0	
309	1.87	1.88	2.580	231.10	55.16	50.62		0	
310	1.88	1.89	4.830	273.97	50.09	336.09		0	
311	1.88	1.89	4.830	273.97	50.07	336.09		0	
312	1.88	1.89	4.820	274.22	50.16	334.69		0	
313	1.89	1.90	3.680	277.58	58.66	73.12		0	
314	1.89	1.90	3.680	277.49	58.60	73.12		0	
315	1.89	1.90	3.690	277.55	58.69	73.12		0	
316	1.90	1.91	7.030	265.02	39.14	75.94		0	
317	1.90	1.91	6.990	265.05	39.16	75.94		0	
318	1.90	1.91	7.030	265.03	39.16	75.94		0	
319	1.91	1.92	7.370	251.53	40.40	66.09		0	do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
320	1.91	1.92	7.370	251.56	40.38	67.50		0	
